seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
75,Frederick,Schultz,56,Jiwag Grove,Ezizvur,MT,56108,$9110.02,WHITE,08/14/1903
76,Noah,McBride,28,Iloamo Lane,Berniztow,AR,14603,$6552.48,BLUE,09/30/1965
77,Augusta,Ross,60,Puovi Center,Kirvouta,NV,32011,$7022.23,GREEN,03/10/1944
78,Howard,King,30,Nalaz Park,Vajkokog,MS,75217,$6835.43,GREEN,05/24/1950
79,Jeremy,Hill,41,Rezo Grove,Pesomov,CA,45936,$7749.36,YELLOW,02/18/1972
80,Mittie,Patrick,63,Jives Square,Icuride,KS,05592,$8043.36,RED,08/16/2050
81,Ollie,Sandoval,49,Jiun Place,Zawpefo,CA,20847,$7021.79,WHITE,10/25/1937
82,Gabriel,Nguyen,65,Nujiz Road,Dijotje,TX,24830,$1681.71,WHITE,03/09/1949
83,Jerry,Daniels,28,Nouk Trail,Ketvisle,ME,52622,$2219.19,RED,01/11/1916
84,Ora,Swanson,54,Nifbos Glen,Jinmemo,SD,56343,$3945.78,BLUE,05/28/1998
85,Kathryn,Shelton,33,Fagda View,Omjoto,WA,42126,$2861.07,GREEN,03/03/2016
86,Anthony,Wilkerson,39,Zole Turnpike,Vacwamduf,UT,38084,$4817.42,GREEN,02/06/2052
87,Clyde,Lindsey,53,Howuv Lane,Robuuca,NJ,31887,$9747.92,BLUE,04/30/1979
88,Steve,Fisher,29,Rorfu Manor,Inuizomo,FL,57597,$2089.92,GREEN,09/10/1950
89,Clarence,Harrison,55,Ejasu Terrace,Tuzohva,UT,60503,$2674.93,BLUE,11/05/2020
90,Essie,Miller,41,Jephog Path,Bijaumo,NJ,75418,$8853.87,BLUE,02/11/2032
91,Nannie,Payne,36,Kojdel Boulevard,Bawegde,AZ,13212,$7611.10,YELLOW,03/28/2056
92,Violet,Black,65,Jeluda Circle,Sisugev,NM,11599,$2620.38,BLUE,01/21/1937
93,Edgar,Lopez,24,Catba View,Mihori,CO,64167,$6144.33,GREEN,08/21/2007
94,Rosie,Lopez,58,Nopze Junction,Pujwewo,KS,47278,$5421.74,YELLOW,05/29/2007
95,Marcus,Wells,22,Owosag Square,Papasuz,MT,26474,$134.40,GREEN,03/08/1989
96,Vera,Wood,49,Apves Extension,Zupeso,WV,33716,$5432.53,GREEN,07/10/1974
97,Ruby,Stewart,50,Sajnab River,Umucanwak,NC,35936,$9605.06,YELLOW,05/14/1969
98,Gussie,Hansen,63,Tagnet Highway,Ilfiij,MS,95100,$4602.60,RED,04/20/2043
99,Elmer,Oliver,48,Jujod Drive,Gowinafo,IA,74571,$1660.95,WHITE,10/29/2048
100,William,Castillo,40,Vaho Pike,Pehiro,AR,80566,$2252.17,RED,09/21/2024
